year,mean_global_co2_level,mean_global_co2_change
830,279.326,0.00000%
831,279.326,0.00000%
832,279.324,-0.00072%
833,279.329,0.00179%
834,279.324,-0.00179%
835,279.325,0.00036%
836,279.323,-0.00072%
837,279.327,0.00143%
838,279.329,0.00072%
839,279.334,0.00179%
840,279.334,0.00000%
841,279.334,0.00000%
842,279.339,0.00179%
843,279.349,0.00358%
844,279.349,0.00000%
845,279.352,0.00107%
846,279.349,-0.00107%
847,279.349,0.00000%
848,279.352,0.00107%
849,279.355,0.00107%
850,279.353,-0.00072%
851,279.355,0.00072%
852,279.352,-0.00107%
853,279.352,0.00000%
854,279.35,-0.00072%
855,279.348,-0.00072%
856,279.346,-0.00072%
857,279.349,0.00107%
858,279.348,-0.00036%
859,279.347,-0.00036%
860,279.351,0.00143%
861,279.345,-0.00215%
862,279.347,0.00072%
863,279.348,0.00036%
864,279.347,-0.00036%
865,279.336,-0.00394%
866,279.326,-0.00358%
867,279.317,-0.00322%
868,279.314,-0.00107%
869,279.312,-0.00072%
870,279.308,-0.00143%
871,279.306,-0.00072%
872,279.303,-0.00107%
873,279.285,-0.00644%
874,279.276,-0.00322%
875,279.269,-0.00251%
876,279.259,-0.00358%
877,279.252,-0.00251%
878,279.238,-0.00501%
879,279.227,-0.00394%
880,279.224,-0.00107%
881,279.216,-0.00287%
882,279.204,-0.00430%
883,279.191,-0.00466%
884,279.185,-0.00215%
885,279.17,-0.00537%
886,279.158,-0.00430%
887,279.147,-0.00394%
888,279.148,0.00036%
889,279.14,-0.00287%
890,279.129,-0.00394%
891,279.122,-0.00251%
892,279.109,-0.00466%
893,279.098,-0.00394%
894,279.086,-0.00430%
895,279.078,-0.00287%
896,279.07,-0.00287%
897,279.055,-0.00538%
898,279.045,-0.00358%
899,279.038,-0.00251%
900,279.021,-0.00609%
901,279.015,-0.00215%
902,279.002,-0.00466%
903,278.994,-0.00287%
904,278.989,-0.00179%
905,278.981,-0.00287%
906,278.961,-0.00717%
907,278.95,-0.00394%
908,278.938,-0.00430%
909,278.93,-0.00287%
910,278.918,-0.00430%
911,278.909,-0.00323%
912,278.899,-0.00359%
913,278.894,-0.00179%
914,278.883,-0.00394%
915,278.871,-0.00430%
916,278.866,-0.00179%
917,278.857,-0.00323%
918,278.849,-0.00287%
919,278.831,-0.00646%
920,278.817,-0.00502%
